a,b,a_radius,b_radius,a_lat,a_lng,b_lat,b_lng,local_remote
8832708_L,8832708_R2,100,100,47.7544,-122.1622,32.2217,-110.9258,1
8832708_R1,8832708_R2,100,100,37.2639,-122.0219,32.2217,-110.9258,0
8982151_L,8982151_R1,100,100,37.4419,-122.1419,47.6419,-122.0792,1
8984577_L,8984577_R1,100,100,37.4419,-122.1419,47.6742,-122.1203,1
8988463_L,8988463_R1,100,100,47.6419,-122.0792,50.9167,0.3333,1
9015746_L,9015746_R1,100,100,47.6742,-122.1203,37.4419,-122.1419,1
9077458_L,9077458_R1,100,100,47.6742,-122.1203,37.4419,-122.1419,1
9292767_L,9292767_R1,100,100,37.5483,-121.9875,47.6064,-122.3308,1
9348141_L,9348141_R1,100,100,47.6742,-122.1203,37.4419,-122.1419,1
9363546_L,9363546_R1,100,100,47.6742,-122.1203,37.4419,-122.1419,1
9392211_L,9392211_R1,100,100,47.7544,-122.1622,37.4419,-122.1419,1
9424490_L,9424490_R1,100,100,47.6419,-122.0792,37.3861,-122.0828,1
9424490_L,9424490_R2,100,100,47.6419,-122.0792,40.4775,-104.9008,1
9424490_R1,9424490_R2,100,100,37.3861,-122.0828,40.4775,-104.9008,0
9522330_L,9522330_R1,100,100,52.45,-1.9167,47.6419,-122.0792,1
9522330_L,9522330_R2,100,100,52.45,-1.9167,37.3689,-122.0353,1
9522330_R1,9522330_R2,100,100,47.6419,-122.0792,37.3689,-122.0353,0
9646623_L,9646623_R1,100,100,47.6419,-122.0792,37.3689,-122.0353,1
9648325_L,9648325_R1,100,100,47.5303,-122.0314,44.9537,-93.09,1
9691178_L,9691178_R1,100,100,47.6064,-122.3308,48.1486,17.1077,1
9710973_L,9710973_R1,100,100,47.6742,-122.1203,37.4419,-122.1419,1
9819970_L,9819970_R1,100,100,47.6106,-122.1994,37.3861,-122.0828,1
9819970_L,9819970_R2,100,100,47.6106,-122.1994,44.9537,-93.09,1
9819970_R1,9819970_R2,100,100,37.3861,-122.0828,44.9537,-93.09,0
9912562_L,9912562_R1,100,100,47.7544,-122.1622,45.0847,-93.0097,1
7696198_L,7696198_R1,100,100,40.9792,-74.1169,37.5072,-122.2594,1
6886046_L,6886046_R1,100,100,39.2403,-76.8397,26.1,-80.4,1
9308173_L,9308173_R1,100,100,40.1842,-75.2567,25.0392,118.4711,1
9699601_L,9699601_R1,100,100,51.5167,-0.7,32.2145,34.9891,1
9699601_L,9699601_R2,100,100,51.5167,-0.7,49.25,-123.1333,1
9699601_L,9699601_R3,100,100,51.5167,-0.7,37.3394,-121.8939,1
9699601_L,9699601_R4,100,100,51.5167,-0.7,-33.8794,151.2506,1
9699601_R1,9699601_R2,100,100,32.2145,34.9891,49.25,-123.1333,0
9699601_R1,9699601_R3,100,100,32.2145,34.9891,37.3394,-121.8939,0
9699601_R1,9699601_R4,100,100,32.2145,34.9891,-33.8794,151.2506,0
9699601_R2,9699601_R3,100,100,49.25,-123.1333,37.3394,-121.8939,0
9699601_R2,9699601_R4,100,100,49.25,-123.1333,-33.8794,151.2506,0
9699601_R3,9699601_R4,100,100,37.3394,-121.8939,-33.8794,151.2506,0
9699696_L,9699696_R1,100,100,51.5167,-0.7,49.25,-123.1333,1
9699696_L,9699696_R2,100,100,51.5167,-0.7,12.9833,77.5833,1
9699696_R1,9699696_R2,100,100,49.25,-123.1333,12.9833,77.5833,0
9717068_L,9717068_R1,100,100,-33.8794,151.2506,49.25,-123.1333,1
9717068_L,9717068_R2,100,100,-33.8794,151.2506,51.5558,-1.7797,1
